Index,Headline,Timestamp,Refered stock,ml_sentiment
1,$919k META YOLO – Mark “Haircut” Zuckerberg Better Print Me Tendies,"Saturday, November 1, 2025 at 12:25:24 AM EDT",META,positive
2,Am I cooked?,"Saturday, November 1, 2025 at 12:50:49 PM EDT",SPY,neutral
3,Already down 7% on this call! $META,"Saturday, November 1, 2025 at 3:58:59 PM EDT",META,neutral
4,3M+ META Yolo,"Sunday, November 2, 2025 at 2:44:16 PM EST",META,positive
5,Amazon on close before earnings and the day after earnings when cashing out….day of close I said fuck,"Sunday, November 2, 2025 at 3:15:46 PM EST",AMZN,neutral
6,See you guys monday 🫡,"Sunday, November 2, 2025 at 8:44:09 PM EST",GRAB,neutral
7,Zuck gonna be Zucked,"Sunday, November 2, 2025 at 11:49:10 PM EST",META,neutral
8,200K+ YOLO on $HIMS,"Monday, November 3, 2025 at 5:28:49 AM EST",HIMS,positive
9,"50K YOLO, the only winning move is not to play","Monday, November 3, 2025 at 9:38:57 AM EST",GME,positive
10,3k of TSLA puts,"Monday, November 3, 2025 at 10:13:54 AM EST",TSLA,neutral
11,$LUMN YOLO,"Monday, November 3, 2025 at 10:40:27 AM EST",LUMN,positive
12,HTZ earnings $30k YOLO,"Monday, November 3, 2025 at 11:28:48 AM EST",HTZ,positive
13,im being a tard again... smh why do i do this,"Monday, November 3, 2025 at 12:48:14 PM EST",QQQ,neutral
14,100K yolo on $AMD earnings,"Monday, November 3, 2025 at 1:02:16 PM EST",AMD,positive
15,1.5mil YOLO on PLTR earnings,"Monday, November 3, 2025 at 1:27:10 PM EST",PLTR,positive
16,$300k $TOST ER play,"Tuesday, November 4, 2025 at 10:24:58 AM EST",TOST,neutral
17,FRODO BAG(HOLD)INS - PLTR 3DTE SHORT YOLOOO,"Tuesday, November 4, 2025 at 11:31:30 AM EST",PLTR,positive
18,MSTY and ULTY ate all my gains from this year :-/,"Tuesday, November 4, 2025 at 3:14:36 PM EST",MSTY,positive
19,$JOBY Earnings YOLO.,"Tuesday, November 4, 2025 at 3:30:27 PM EST",JOBY,positive
20,SOUN 60k earning yolo,"Tuesday, November 4, 2025 at 3:39:17 PM EST",SOUN,positive
21,I was a bear for ONE DAY,"Tuesday, November 4, 2025 at 4:25:45 PM EST",SPY,neutral
22,-sigh-,"Tuesday, November 4, 2025 at 4:41:00 PM EST",HOOD,neutral
23,Here is my play . Don’t judge me,"Tuesday, November 4, 2025 at 5:04:35 PM EST",AAPL,neutral
24,💎🙌 GLD Calls…..More like GLD Falls 🙌💎,"Tuesday, November 4, 2025 at 5:04:46 PM EST",GLD,neutral
25,I want to go back in time before I knew this subreddit,"Tuesday, November 4, 2025 at 6:00:37 PM EST",AAPL,neutral
26,"$26K loss, RDDT + META","Tuesday, November 4, 2025 at 6:35:08 PM EST",RDDT,negative
27,"$26K loss, RDDT + META","Tuesday, November 4, 2025 at 6:35:08 PM EST",META,negative
28,$BROS Earnings YOLO,"Tuesday, November 4, 2025 at 6:37:39 PM EST",BROS,positive
29,100k yolo - ET phone home,"Tuesday, November 4, 2025 at 8:02:15 PM EST",ET,positive
30,Such is life,"Wednesday, November 5, 2025 at 12:53:46 AM EST",BULL,neutral
31,The whole US will be suckling on these $TE-ets and it’ll feel so good…,"Wednesday, November 5, 2025 at 1:34:17 AM EST",TE,neutral
32,"Meta Level 100 Charizard TA Analysis - Flamethrower Super Effective, $800+ Breakout","Wednesday, November 5, 2025 at 4:57:35 AM EST",META,neutral
33,I caught a knife!,"Wednesday, November 5, 2025 at 10:00:38 AM EST",SPRT,neutral
